puma_id,statefip,puma,puma_name,cbsa,cbsa_name,overlap_pct,is_metro,is_micro
4806801,48,06801,Hidalgo County (Southeast)--Weslaco & Mercedes Cities,32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4806802,48,06802,Hidalgo County (East)--Alamo & Donna Cities,32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4806803,48,06803,"Hidalgo County (South Central)--Pharr, San Juan & Hidalgo Cities",32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4806804,48,06804,Hidalgo County (North Central)--Edinburg City,32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4806805,48,06805,Hidalgo County (Central)--McAllen City,32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4806806,48,06806,Hidalgo County (Southwest)--Mission City,32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4806807,48,06807,Hidalgo County (North & West),32580,"McAllen-Edinburg-Mission, TX",1,TRUE,FALSE
4807200,48,07200,Concho Valley COG & Permian Basin Regional Planning Commission (East),,Non-metropolitan,,FALSE,FALSE
4807300,48,07300,Rio Grande COG & Permian Basin Regional Planning Commission (West),,Non-metropolitan,,FALSE,FALSE
4807401,48,07401,Brazos County--College Station & Bryan Cities (Central),17780,"College Station-Bryan, TX",1,TRUE,FALSE
4807402,48,07402,Brazos County--College Station & Bryan Cities (Outer),17780,"College Station-Bryan, TX",1,TRUE,FALSE
4807500,48,07500,Middle Rio Grande Development Council--Excluding Dimmit & La Salle Counties,,Non-metropolitan,,FALSE,FALSE
4807600,48,07600,"South Texas Development Council (South)--Coastal Bend COG (West), Dimmit & La Salle",40100,"Rio Grande City-Roma, TX",0.5973,TRUE,TRUE
4807700,48,07700,Coastal Bend COG (Central) & Willacy County,,Non-metropolitan,,FALSE,FALSE
4903000,49,03000,Tooele & Box Elder Counties,41620,"Salt Lake City, UT",0.5577,TRUE,FALSE
4905000,49,05000,"Cache, Summit, Morgan & Rich Counties",30860,"Logan, UT-ID",0.6996,TRUE,FALSE
4911002,49,11002,"Davis County (South)--Bountiful, Farmington & North Salt Lake Cities",36260,"Ogden-Clearfield, UT",1,TRUE,FALSE
4911003,49,11003,"Davis County (Northwest)--Syracuse, Clearfield & West Point Cities",36260,"Ogden-Clearfield, UT",1,TRUE,FALSE
4911004,49,11004,"Davis County (Northeast)--Layton, Kaysville & South Weber Cities",36260,"Ogden-Clearfield, UT",1,TRUE,FALSE
4913000,49,13000,Southeast Utah & Uintah Basin Region,,Non-metropolitan,,FALSE,FALSE
4921000,49,21000,Southwest & South Central Utah (Outside Washington County)--Cedar City,,Non-metropolitan,,FALSE,FALSE
4935008,49,35008,"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities",41620,"Salt Lake City, UT",1,TRUE,FALSE
4935009,49,35009,Salt Lake County (South & East Central)--Draper (Northwest) & Sandy (South) Cities,41620,"Salt Lake City, UT",1,TRUE,FALSE
4935011,49,35011,Salt Lake County--Salt Lake City (West) & Magna,41620,"Salt Lake City, UT",1,TRUE,FALSE
4935012,49,35012,Salt Lake County--Salt Lake City (East) & Emigration Canyon,41620,"Salt Lake City, UT",1,TRUE,FALSE
4935013,49,35013,Salt Lake County--West Valley City,41620,"Salt Lake City, UT",1,TRUE,FALSE
4935014,49,35014,"Salt Lake County--Taylorsville, Kearns & Magna",41620,"Salt Lake City, UT",1,TRUE,FALSE
4935015,49,35015,"Salt Lake County (East Central)--South Salt Lake, Murray, Holladay & Millcreek Cities PU",41620,"Salt Lake City, UT",1,TRUE,FALSE
4935016,49,35016,Salt Lake County--West Jordan City,41620,"Salt Lake City, UT",1,TRUE,FALSE
4935017,49,35017,"Salt Lake County--South Jordan, Herriman, Bluffdale & Riverton cities",41620,"Salt Lake City, UT",1,TRUE,FALSE
4949001,49,49001,"Utah County (West)--Saratoga Springs, Payson & Lehi (Southwest) Cities",39340,"Provo-Orem, UT",1,TRUE,FALSE
4949002,49,49002,"Utah County (Central)--Orem, Pleasant Grove, American Fork & Lindon Cities",39340,"Provo-Orem, UT",1,TRUE,FALSE
4949003,49,49003,Utah County (Central)--Provo City,39340,"Provo-Orem, UT",1,TRUE,FALSE
4949004,49,49004,"Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities",39340,"Provo-Orem, UT",1,TRUE,FALSE
4953000,49,53000,Washington County--St. George City,41100,"St. George, UT",1,TRUE,FALSE
4957001,49,57001,"Weber County (West)--Roy, North Ogden, Ogden (Northwest) & West Haven Cities",36260,"Ogden-Clearfield, UT",1,TRUE,FALSE
4957002,49,57002,Weber County (East)--Ogden (Southeast) & South Ogden Cities,36260,"Ogden-Clearfield, UT",1,TRUE,FALSE
5000100,50,00100,"Northern Vermont--Grand Isle, Franklin, Lamoille, Orleans, Caledonia & Essex Counties P",,Non-metropolitan,,FALSE,FALSE
5000200,50,00200,"Central Vermont--Addison, Washington & Orange Counties",,Non-metropolitan,,FALSE,FALSE
5000300,50,00300,Chittenden County,15540,"Burlington-South Burlington, VT",1,TRUE,FALSE
5000400,50,00400,"Southern Vermont--Rutland, Windsor, Bennington & Windham Counties",,Non-metropolitan,,FALSE,FALSE
5101301,51,01301,Arlington County (North),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5101302,51,01302,Arlington County (South),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5101500,51,01500,Central Shenandoah Planning District Commission (Southwest),44420,"Staunton, VA",0.7445,TRUE,FALSE
5101900,51,01900,"Virginias Region 2000 (North)--Bedford, Amherst, Appomattox Counties & Bedford City PUM",31340,"Lynchburg, VA",1,TRUE,FALSE
5104101,51,04101,Chesterfield County (East)--James River Region,40060,"Richmond, VA",1,TRUE,FALSE
5104102,51,04102,Chesterfield County (Central)--Chester & Rockwood,40060,"Richmond, VA",1,TRUE,FALSE
5104103,51,04103,Chesterfield County (West)--Brandermill & Woodlake,40060,"Richmond, VA",1,TRUE,FALSE
5105901,51,05901,Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUM,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5105902,51,05902,Fairfax County (Northwest)--Reston (North) & Franklin Farm,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5105904,51,05904,"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5105905,51,05905,Fairfax County (Southwest)--Centreville (Southeast) & Lorton,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
